name,display,description,details,type
proc_radiation_code,Proc radiation code,Procedure category code,"Source: proc_category_code; table: pcx__cohort_variable_wide_proc. Populated for matching proc_radiation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Tier 1 = radiation delivery or management codes (CPT 774xx, 775xx proton, SNOMED CSI), tier 2 = treatment planning only. Tier 1 feeds pcx__eligible_radiation. Candidate-labeled entries require terminology review.",string
proc_radiation_ref,Proc radiation ref,Procedure reference,"Source: procedure_ref; table: pcx__cohort_variable_wide_proc. Populated for matching proc_radiation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Tier 1 = radiation delivery or management codes (CPT 774xx, 775xx proton, SNOMED CSI), tier 2 = treatment planning only. Tier 1 feeds pcx__eligible_radiation. Candidate-labeled entries require terminology review.",string
birthdate,Birthdate,Patient birth date from core__patient.,Used for month-level age at time zero and at definitive surgery. Confirm the site ETL has not truncated birthDate to year.,day
t0_day,T0 day,Time zero: first encounter with a tier 1 medulloblastoma casedef code.,"Time zero is the first study-population encounter carrying a tier 1 medulloblastoma casedef code (pcx__eligible_dx). Tier 2 and 3 codes are evidence only. NULL when the subject has only tier 2/3 evidence. Tables: pcx__eligible_*, pcx__outcome_*.",day
t0_source,T0 source,Rule that produced t0_day.,"Currently always casedef_tier1_medulloblastoma. Retained so alternative anchors (definitive surgery, treatment initiation) can be compared later.",string
age_months_at_t0,Age months at T0,Completed months from birthdate to t0_day.,"DATE_DIFF month. NULL when t0_day is NULL. The ACNS0334 criterion is age at definitive surgery, not at diagnosis; see age_months_at_definitive_surgery.",integer
age_under_36_months_at_t0,Age under 36 months at T0,TRUE when age_months_at_t0 is below 36.,Diagnosis-anchored convenience flag. Not the trial criterion.,boolean
age_band_at_t0,Age band at T0,under_36_months or 36_months_or_older at t0_day.,Stratifier for the all-ages discovery cohort (README section 1). NULL when t0_day is NULL.,string
age_under_8_months_at_t0,Age under 8 months at T0,TRUE when age_months_at_t0 is below 8.,"One of the four ACNS0334 high-risk qualifiers (diagnosis under 8 months). Adjudicate the stratum downstream with metastasis, histology and residual disease.",boolean
medulloblastoma_tier1_bool,Medulloblastoma tier 1,TRUE when any tier 1 medulloblastoma casedef code exists for the subject.,Structured diagnosis evidence. Compare with llm_medulloblastoma_bool.,boolean
atrt_tier1_bool,ATRT tier 1,"TRUE when any tier 1 ATRT casedef code (9508/3, SNOMED 715659006) exists for the subject.",Tier 3 ATRT rows (unspecified brain neoplasm) are ignored here on purpose.,boolean
atrt_first_day,ATRT first day,First encounter with a tier 1 ATRT casedef code.,,day
atrt_confirmed_bool,ATRT confirmed,TRUE when structured tier 1 or LLM diagnosis evidence names ATRT.,"ACNS0334 exclusion. FALSE when neither source names ATRT, which is absence of evidence, not a pathology result. Table: pcx__eligible.",boolean
llm_medulloblastoma_bool,LLM medulloblastoma,TRUE when any diagnosis-task note gives disease_subtype MEDULLOBLASTOMA.,Source: pcx__llm_diagnosis_wide. NULL when the subject has no diagnosis-task output.,boolean
llm_atrt_bool,LLM ATRT,TRUE when any diagnosis-task note gives disease_subtype ATRT.,Source: pcx__llm_diagnosis_wide. NULL when the subject has no diagnosis-task output.,boolean
llm_diagnosis_day_min,LLM diagnosis day min,Earliest diagnosis_date across diagnosis-task notes.,Hard cast to DATE. Precision is not carried here; month or year placeholders are first-of-period dates.,day
llm_diagnosis_gold_day_min,LLM diagnosis gold day min,Earliest confirmatory tissue-diagnosis date across diagnosis-task notes.,Usually the resection or biopsy date. Candidate proxy for definitive surgery when no surgery evidence exists.,day
llm_age_months_at_diagnosis_gold,LLM age months at diagnosis gold,Completed months from birthdate to llm_diagnosis_gold_day_min.,Provisional age gate before running the surgery task.,integer
llm_age_at_diagnosis_months_min,LLM age at diagnosis months min,Smallest explicitly stated age at diagnosis in months across notes.,"Extracted text, not computed from dates.",integer
llm_metastatic_bool,LLM metastatic,TRUE when any diagnosis-task note states Chang M1 to M4.,Directly stated M-stage only. Derived staging from metastasis-task inputs is a downstream step.,boolean
llm_anaplastic_bool,LLM anaplastic,TRUE when any diagnosis-task note gives large-cell/anaplastic histology.,ACNS0334 high-risk qualifier.,boolean
definitive_surgery_day,Definitive surgery day,Date of the definitive tumor resection.,"Precedence: LLM surgery_role containing definitive, then first structured tier 1 craniotomy. See definitive_surgery_source. Table: pcx__eligible_surgery.",day
definitive_surgery_source,Definitive surgery source,Which rule produced definitive_surgery_day.,llm_surgery_role_definitive or proc_craniotomy_tier1_first. NULL when neither source has a date.,string
proc_craniotomy_tier1_first_day,Proc craniotomy tier 1 first day,First tier 1 craniotomy procedure date.,Structured fallback for definitive surgery.,day
proc_craniotomy_tier1_cnt,Proc craniotomy tier 1 cnt,Number of distinct tier 1 craniotomy procedures.,More than one suggests second-look or recurrence surgery is present.,integer
llm_surgery_first_day,LLM surgery first day,"Earliest surgery_date across surgery-task notes, any role.",,day
llm_definitive_surgery_day,LLM definitive surgery day,Earliest surgery_date where surgery_role contains definitive.,"surgery_role is free text in the current model, so this is a substring rule.",day
llm_age_at_definitive_surgery_months,LLM age at definitive surgery months,Explicitly stated age in months at the definitive operation.,"Extracted text, compare with age_months_at_definitive_surgery.",float
llm_residual_tumor_area_cm2_min,LLM residual tumor area min,Smallest explicit postoperative residual area in cm2.,Never inferred from GTR/NTR/STR labels.,float
llm_residual_tumor_area_cm2_max,LLM residual tumor area max,Largest explicit postoperative residual area in cm2.,"ACNS0334 high-risk threshold is 1.5 cm2; apply it downstream, not here.",float
llm_residual_disease_bool,LLM residual disease,TRUE when any surgery-task note gives extent PARTIAL_RESECTION or BIOPSY.,"Label-based residual disease, distinct from a measured area.",boolean
age_months_at_definitive_surgery,Age months at definitive surgery,Completed months from birthdate to definitive_surgery_day.,The ACNS0334 age criterion is evaluated on this column.,integer
age_under_36_months_at_definitive_surgery,Age under 36 months at definitive surgery,TRUE when age_months_at_definitive_surgery is below 36.,ACNS0334 inclusion criterion. NULL when no definitive surgery date exists.,boolean
methotrexate_first_day,Methotrexate first day,Earliest methotrexate date from any source.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,day
methotrexate_order_first_day,Methotrexate order first day,Earliest rx_contrast_methotrexate MedicationRequest authoredOn date.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,day
methotrexate_administered_first_day,Methotrexate administered first day,Earliest LLM-documented methotrexate administration start date.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,day
methotrexate_any_bool,Methotrexate any,TRUE when any methotrexate order or administration exists.,"Any dose, any route, any time (README section 2). Timing relative to the first event is in pcx__outcome_exposure.",boolean
methotrexate_administered_bool,Methotrexate administered,TRUE when an LLM agent mention documents methotrexate as ADMINISTERED.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,boolean
chemo_first_day,Chemo first day,Earliest backbone chemotherapy date from any source.,Backbone agents are the six rx_chemo_* valuesets plus methotrexate. Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,day
chemo_order_first_day,Chemo order first day,Earliest rx_chemo_* MedicationRequest authoredOn date.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,day
chemo_administered_first_day,Chemo administered first day,Earliest LLM-documented administered agent start date.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,day
chemo_any_bool,Chemo any,TRUE when any backbone chemotherapy order or administration exists.,Candidate union of MedicationRequest orders (rx_order) and LLM systemic-therapy agents with delivery_status ADMINISTERED (llm_administered). An order is not receipt. Table: pcx__eligible_rx.,boolean
chemo_prior_to_t0_bool,Chemo prior to T0,TRUE when chemo_first_day is before t0_day.,Feeds no_prior_chemotherapy_bool.,boolean
no_prior_chemotherapy_bool,No prior chemotherapy,ACNS0334 criterion: no chemotherapy before initial treatment.,"FALSE when chemo_prior_to_t0_bool, TRUE when chemo exists only at or after t0_day, NULL when no chemotherapy evidence at all. Steroids are not chemotherapy. Table: pcx__eligible.",boolean
radiation_first_day,Radiation first day,Earliest radiation date from any source.,"Candidate union of tier 1 proc_radiation procedures, tier 1 dx_radiation encounter codes, and LLM radiation rounds with delivery_status ADMINISTERED. Table: pcx__eligible_radiation.",day
radiation_proc_first_day,Radiation proc first day,Earliest tier 1 radiation procedure date.,"Candidate union of tier 1 proc_radiation procedures, tier 1 dx_radiation encounter codes, and LLM radiation rounds with delivery_status ADMINISTERED. Table: pcx__eligible_radiation.",day
radiation_dx_first_day,Radiation dx first day,Earliest tier 1 radiotherapy encounter code recorded date.,"Candidate union of tier 1 proc_radiation procedures, tier 1 dx_radiation encounter codes, and LLM radiation rounds with delivery_status ADMINISTERED. Table: pcx__eligible_radiation.",day
radiation_administered_first_day,Radiation administered first day,Earliest LLM-documented delivered radiation start date.,"Candidate union of tier 1 proc_radiation procedures, tier 1 dx_radiation encounter codes, and LLM radiation rounds with delivery_status ADMINISTERED. Table: pcx__eligible_radiation.",day
radiation_any_bool,Radiation any,"TRUE when any radiation evidence exists, NULL when none.","Any dose, any field, any time (README section 2). Timing relative to the first event is in pcx__outcome_exposure.",boolean
radiation_administered_bool,Radiation administered,TRUE when an LLM radiation round is ADMINISTERED.,"Candidate union of tier 1 proc_radiation procedures, tier 1 dx_radiation encounter codes, and LLM radiation rounds with delivery_status ADMINISTERED. Table: pcx__eligible_radiation.",boolean
llm_craniospinal_bool,LLM craniospinal,TRUE when any LLM radiation round has a craniospinal field.,CRANIOSPINAL or CRANIOSPINAL_WITH_FOCAL_BOOST.,boolean
llm_proton_bool,LLM proton,TRUE when any LLM radiation round uses protons.,,boolean
llm_explicitly_not_received_bool,LLM explicitly not received,TRUE when a note explicitly documents that radiation was not received.,Explicit negative through the assessed date. Silence is NULL.,boolean
radiation_prior_to_t0_bool,Radiation prior to T0,TRUE when radiation_first_day is before t0_day.,Feeds no_prior_radiation_bool.,boolean
no_prior_radiation_bool,No prior radiation,ACNS0334 criterion: no radiation before initial treatment.,"FALSE when radiation_prior_to_t0_bool, TRUE when radiation exists only at or after t0_day or is explicitly not received, NULL when no radiation evidence at all. Table: pcx__eligible.",boolean
deceased_bool,Deceased,TRUE when any source records death.,"Table: pcx__outcome_vital_status. Sources: raw FHIR patient deceasedBoolean/deceasedDateTime, latest study-population encounter end, LLM patient task. A deceased flag without a date leaves death_day NULL.",boolean
death_day,Death day,Earliest recorded death date across sources.,"Table: pcx__outcome_vital_status. Sources: raw FHIR patient deceasedBoolean/deceasedDateTime, latest study-population encounter end, LLM patient task. Actual death date, never a note date.",day
last_known_alive_day,Last known alive day,Latest date the patient is documented alive.,"Table: pcx__outcome_vital_status. Sources: raw FHIR patient deceasedBoolean/deceasedDateTime, latest study-population encounter end, LLM patient task. Latest of last encounter end and LLM last-known-alive. OS censoring date for patients without a death.",day
fhir_deceased_bool,FHIR deceased,Patient.deceasedBoolean from the raw FHIR patient table.,NULL when the site ETL does not populate it.,boolean
fhir_death_day,FHIR death day,Patient.deceasedDateTime at day precision.,NULL when the site ETL does not populate it.,day
last_encounter_day,Last encounter day,Latest enc_period_end_day_filled in the study population.,Administrative evidence only; a later note may extend last_known_alive_day.,day
llm_deceased_bool,LLM deceased,TRUE when any patient-task note gives vital_status DECEASED.,,boolean
llm_death_day,LLM death day,Earliest death_date across patient-task notes.,"Hard cast to DATE, precision not carried.",day
llm_last_known_alive_day,LLM last known alive day,Latest last_known_alive_date across patient-task notes.,"Hard cast to DATE, precision not carried.",day
first_event_day,First event day,Date of the first EFS-type event.,"First event per README section 2: earliest of PROGRESSION, RECURRENCE, SECOND_MALIGNANCY and death. REMISSION, INITIAL_DIAGNOSIS and SECOND_PRIMARY are not counted. Table: pcx__outcome_first_event. Undated events cannot be first events.",day
first_event_type,First event type,"Event type(s) on first_event_day, comma-joined when several share the date.","First event per README section 2: earliest of PROGRESSION, RECURRENCE, SECOND_MALIGNANCY and death. REMISSION, INITIAL_DIAGNOSIS and SECOND_PRIMARY are not counted. Table: pcx__outcome_first_event.",string
any_event_bool,Any event,TRUE when a dated EFS-type event exists.,"First event per README section 2: earliest of PROGRESSION, RECURRENCE, SECOND_MALIGNANCY and death. REMISSION, INITIAL_DIAGNOSIS and SECOND_PRIMARY are not counted. Table: pcx__outcome_first_event.",boolean
progression_first_day,Progression first day,Earliest dated PROGRESSION event.,"First event per README section 2: earliest of PROGRESSION, RECURRENCE, SECOND_MALIGNANCY and death. REMISSION, INITIAL_DIAGNOSIS and SECOND_PRIMARY are not counted. Table: pcx__outcome_first_event.",day
recurrence_first_day,Recurrence first day,Earliest dated RECURRENCE event.,"First event per README section 2: earliest of PROGRESSION, RECURRENCE, SECOND_MALIGNANCY and death. REMISSION, INITIAL_DIAGNOSIS and SECOND_PRIMARY are not counted. Table: pcx__outcome_first_event.",day
second_malignancy_first_day,Second malignancy first day,Earliest dated SECOND_MALIGNANCY event.,"First event per README section 2: earliest of PROGRESSION, RECURRENCE, SECOND_MALIGNANCY and death. REMISSION, INITIAL_DIAGNOSIS and SECOND_PRIMARY are not counted. Table: pcx__outcome_first_event.",day
undated_event_cnt,Undated event cnt,Number of EFS-type event mentions with no date.,Visible so a NULL first_event_day is not mistaken for no events.,integer
days_t0_to_first_event,Days T0 to first event,Days from t0_day to first_event_day.,Negative values mean the event precedes time zero and need review.,integer
methotrexate_prior_to_first_event_bool,Methotrexate prior to first event,Methotrexate received as initial therapy (README section 2).,"TRUE when the first exposure day is before first_event_day or there is no event, FALSE when on or after it (salvage, not initial therapy), NULL when no dated exposure evidence at all. Table: pcx__outcome_exposure.",boolean
chemo_prior_to_first_event_bool,Chemo prior to first event,Backbone chemotherapy received as initial therapy.,"TRUE when the first exposure day is before first_event_day or there is no event, FALSE when on or after it (salvage, not initial therapy), NULL when no dated exposure evidence at all. Table: pcx__outcome_exposure. Not a required stratifier; kept for the sequence column.",boolean
radiation_prior_to_first_event_bool,Radiation prior to first event,Radiation received as initial therapy (README section 2).,"TRUE when the first exposure day is before first_event_day or there is no event, FALSE when on or after it (salvage, not initial therapy), NULL when no dated exposure evidence at all. Table: pcx__outcome_exposure.",boolean
initial_therapy_sequence,Initial therapy sequence,Order of chemotherapy and radiation within initial treatment.,"CHEMOTHERAPY_BEFORE_RADIATION, RADIATION_BEFORE_CHEMOTHERAPY, SAME_DAY, CHEMOTHERAPY_ONLY, RADIATION_ONLY, or NULL. Uses chemo_first_day and radiation_first_day restricted to before the first event. Table: pcx__outcome_exposure.",string
protocol_names,Protocol names,"Distinct treatment protocol names documented for the subject, pipe-joined.","From LLM regimen protocol_name_verbatim and timeline-anchor protocol_name. A protocol name does not establish enrollment, randomization or receipt.",string
os_event_bool,OS event,TRUE when the patient died.,"Overall survival per README section 3: origin t0_day, event death. Table: pcx__outcome.",boolean
os_end_day,OS end day,"death_day for deceased patients, otherwise last_known_alive_day.","Overall survival per README section 3: origin t0_day, event death. Table: pcx__outcome.",day
os_days,OS days,Days from t0_day to os_end_day.,"Overall survival per README section 3: origin t0_day, event death. Table: pcx__outcome. NULL when either date is missing, including deceased patients without a death date.",integer
efs_event_bool,EFS event,TRUE when a dated EFS-type event exists.,Provisional event-free survival per README section 5. Table: pcx__outcome.,boolean
efs_end_day,EFS end day,"first_event_day when an event exists, otherwise last_known_alive_day.",Provisional event-free survival per README section 5. Table: pcx__outcome. Censoring on last-known-alive is a stand-in until dated event-free follow-up is adjudicated.,day
efs_days,EFS days,Days from t0_day to efs_end_day.,Provisional event-free survival per README section 5. Table: pcx__outcome.,integer
efs_censor_source,EFS censor source,first_event or last_known_alive_provisional.,Provisional event-free survival per README section 5. Table: pcx__outcome. Every censored row says provisional on purpose.,string
